Symbol,Name,description
AES,AES Corp,"The AES Corporation operates as a diversified power generation and utility company. It owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries. The company also owns and/or operates utilities to generate or purchase, distribute, transmit, and sell electricity to end-user customers in the residential, commercial, industrial, and governmental sectors; and generates and sells electricity on the wholesale market. It uses a range of fuels to generate electricity, including natural gas, coal, pet coke, diesel, and oil, as well as renewables, such as hydro, solar, wind, energy storage, biomass, and landfill gas. The company owns and/or operates a generation portfolio of approximately 34,905 megawatts. It has operations in the United States, Chile, Colombia, Argentina, Brazil, Mexico, Central America, the Caribbean, Europe, and Asia. The company was formerly known as Applied Energy Services, Inc. and changed its name to The AES Corporation in April 2000. The AES Corporation was founded in 1981 and is headquartered in Arlington, Virginia."
AET,Aetna Inc,"Aetna Inc. operates as a health care benefits company in the United States. It operates through three segments: Health Care, Group Insurance, and Large Case Pensions. The Health Care segment offers medical, pharmacy benefit management service, dental, behavioral health, and vision plans on an insured and employer-funded basis. It also provides point-of-service, preferred provider organization, health maintenance organization, and indemnity benefit plans, as well as health savings accounts and consumer-directed health plans. In addition, this segment offers Medicare and Medicaid products and services, as well as other medical products, such as medical management and data analytics services, medical stop loss insurance, workers' compensation administrative services, and products that provide access to its provider networks in select geographies. The Group Insurance segment offers life insurance products, including group term life insurance, voluntary spouse and dependent term life insurance, group universal life insurance, and accidental death and dismemberment insurance; disability insurance products; and long-term care insurance products, which provide the benefits to cover the cost of care in private home settings, adult day care, assisted living, or nursing facilities. The Large Case Pensions segment manages various retirement products comprising pension and annuity products primarily for tax-qualified pension plans. The company provides its products and services to employer groups, individuals, college students, part-time and hourly workers, health plans, health care providers, governmental units, government-sponsored plans, labor groups, and expatriates. Aetna Inc. was founded in 1853 and is based in Hartford, Connecticut."
AMG,Affiliated Managers Group Inc,"Affiliated Managers Group, Inc., through its affiliates, operates as an asset management company providing investment management services to mutual funds, institutional clients, and high net worth individuals in the United States. It provides advisory or subadvisory services to mutual funds. These funds are distributed to retail and institutional clients directly and through intermediaries, including independent investment advisors, retirement plan sponsors, broker-dealers, major fund marketplaces, and bank trust departments. The company also offers investment products in various investment styles in the institutional distribution channel, including small, small/mid, mid, and large capitalization value and growth equity, and emerging markets. In addition, it offers quantitative, alternative, and fixed income products, and manages assets for foundations and endowments, defined benefit, and defined contribution plans for corporations and municipalities. Affiliated Managers Group provides investment management or customized investment counseling and fiduciary services. The company was formed as a corporation under the laws of Delaware in 1993. Affiliated Managers Group is based in Prides Crossing, Massachusetts."
AFL,AFLAC Inc,"Aflac Incorporated, through its subsidiary, American Family Life Assurance Company of Columbus, provides voluntary supplemental health and life insurance products. It operates through two segments, Aflac Japan and Aflac U.S. The Aflac Japan segment offers voluntary supplemental insurance products, including cancer plans, general medical indemnity plans, medical/sickness riders, care plans, living benefit life plans, ordinary life insurance plans, and annuities in Japan. The Aflac U.S. segment provides products designed to protect individuals from depletion of assets comprising accident, cancer, critical illness/care, hospital indemnity, fixed-benefit dental, and vision care plans; and loss-of-income products, such as life and short-term disability plans in the United States. The company sells its products through sales associates and brokers, independent corporate agencies, individual agencies, and affiliated corporate agencies. Aflac Incorporated was founded in 1955 and is headquartered in Columbus, Georgia."
A,Agilent Technologies Inc,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. It operates through three segments: Life Sciences and Applied Markets, Diagnostics and Genomics, and Agilent CrossLab. The Life Sciences and Applied Markets segment offers liquid chromatography systems and components; liquid chromatography mass spectrometry systems; gas chromatography systems and components; gas chromatography mass spectrometry systems; inductively coupled plasma mass spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; inductively coupled plasma optical emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; laboratory software and information management and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps; and measurement technologies. The Diagnostics and Genomics segment provides reagents, instruments, software, and consumables; arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, and gene expression profiling, as well as sequencing target enrichment, genetic data management, and interpretation support software; and equipment focused on production of synthesized oligonucleotides for use as active pharmaceutical ingredients. The Agilent CrossLab segment offers GC and LC columns, sample preparation products, custom chemistries, and various laboratory instrument supplies; and startup, operational, training, compliance support, and software as a service, as well as asset management and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. Agilent Technologies, Inc. was founded in 1999 and is headquartered in Santa Clara, California."
APD,Air Products & Chemicals Inc,"Air Products and Chemicals, Inc. provides atmospheric gases, process and specialty gases, equipment, and services worldwide. The company produces atmospheric gases, including oxygen, nitrogen, argon, and rare gases; process gases, such as hydrogen, helium, carbon dioxide, carbon monoxide, syngas, and specialty gases; and equipment for the production or processing of gases comprising air separation units and non-cryogenic generators for customers in various industries, including refining, chemical, gasification, metals, electronics, manufacturing, food and beverage, magnetic resonance imaging, energy production and refining, and metals. It also designs and manufactures equipment for air separation, hydrocarbon recovery and purification, natural gas liquefaction, and liquid helium and liquid hydrogen transport and storage. Air Products and Chemicals, Inc. was founded in 1940 and is headquartered in Allentown, Pennsylvania."
AKAM,Akamai Technologies Inc,"Akamai Technologies, Inc. provides cloud services for delivering, optimizing, and securing content and business applications over the Internet in the United States and internationally. The company offers Web and mobile performance solutions, such as Ion, a situational performance solution; Dynamic Site Accelerator that helps in consistent Website performance; Image Manager that automatically optimizes online images; CloudTest to conduct load testing and other analysis of Websites in a pre-production environment; mPulse that provides real-time Website performance data to provide insight about end-user experiences on a Website; and Global Traffic Management, a fault-tolerant solution. It also provides cloud security solutions, including Web Application Protector to safeguard Web assets from Web application and distributed denial of service; Kona Site Defender, a cloud computing security solution; Bot Manager Premier to identify bots; Fast DNS, which translates human-readable domain names into numerical IP addresses; Prolexic Routed to protect Web- and IP-based applications; and Client Reputation for protection against DDoS and Web application attacks. In addition, the company offers enterprise security solutions, including Enterprise Application Access that enables remote access to applications; and Enterprise Threat Protector to enable enterprise security teams to identify, block, and mitigate targeted threats. Further, it provides network operator solutions, including Aura Licensed CDN, Aura Managed CDN, and Intelligent DNS solutions, as well as professional services and solutions; media delivery solutions, such as adaptive delivery, download delivery, infinite media acceleration, media services, and media analytics solutions; and NetStorage, a cloud storage solution. The company sells its solutions through direct sales and service organization; and channel partners. Akamai Technologies, Inc. was founded in 1998 and is headquartered in Cambridge, Massachusetts."
ALK,Alaska Air Group Inc,"Alaska Air Group, Inc., through its subsidiaries, provides passengers and cargo air transportation services. It also focuses on providing ground and ramp handling services to airlines. The company operates through three segments: Mainline, Regional, and Horizon. It has a network of approximately 1,200 daily flights to 118 destinations across the United States, Mexico, Canada, and Costa Rica. The company was founded in 1932 and is based in Seattle, Washington."
ALB,Albemarle Corp,"Albemarle Corporation develops, manufactures, and markets engineered specialty chemicals worldwide. Its Lithium and Advanced Materials segment offers lithium compounds, including lithium carbonate, lithium hydroxide, lithium chloride, and lithium specialties, as well as reagents, such as butyllithium and lithium aluminum hydride for applications in lithium batteries for consumer electronics and automobiles, high performance greases, thermoplastic elastomers for car tires, rubber soles, plastic bottles, catalysts for chemical reactions, organic synthesis processes, life science, pharmaceutical, and other markets. It also offers cesium products for the chemical and pharmaceutical markets; zirconium, barium, and titanium products for various pyrotechnical applications; technical services, such as the handling and use of reactive lithium products; and recycling services for lithium-containing by-products. In addition, this segment offers performance catalyst solutions comprising organometallics, polymer catalysts, and curatives for polyolefin polymers, packaging, non-packaging, films, injection molding, alpha-olefins, polyurethanes, epoxies, and engineered resins markets. Its Bromine Specialties segment offers bromine and bromine-based solutions for fire safety, chemical synthesis, mercury control, water purification, beef and poultry processing, and other industrial applications, as well as oil and gas well drilling, and completion fluids applications; and tertiary amines, biocides, disinfectants, and sanitizers. Its Refining Solutions segment offers clean fuels technologies, which is primarily composed of hydroprocessing catalysts; and fluidized catalytic cracking catalysts and additives for refining industry. It serves energy storage, petroleum refining, consumer electronics, construction, automotive, lubricants, pharmaceuticals, crop protection, and custom chemistry services markets. The company was founded in 1994 and is headquartered in Charlotte, North Carolina."
ARE,Alexandria Real Estate Equities Inc,"Alexandria Real Estate Equities, Inc. (NYSE:ARE), an S&P 500 company, is an urban office real estate investment trust (<U+0093>REIT<U+0094>) uniquely focused on collaborative life science and technology campuses in AAA innovation cluster locations, with a total market capitalization of $19.1 billion and an asset base in North America of 32.2 million square feet (<U+0093>SF<U+0094>) as of September 30, 2018. The asset base in North America includes 21.6 million RSF of operating properties and 2.6 million RSF of development and redevelopment of new Class A properties currently undergoing construction and pre-construction activities with target delivery dates ranging from 2018 through 2019. Additionally, the asset base in North America includes 8.0 million SF of intermediate-term and future development projects. Founded in 1994, Alexandria pioneered this niche and has since established a significant market presence in key locations, including Greater Boston, San Francisco, New York City, San Diego, Seattle, Maryland, and Research Triangle Park. Alexandria has a longstanding and proven track record of developing Class A properties clustered in urban life science and technology campuses that provide our innovative tenants with highly dynamic and collaborative environments that enhance their ability to successfully recruit and retain world-class talent and inspire productivity, efficiency, creativity, and success. Alexandria also provides strategic capital to transformative life science and technology companies through our venture capital arm. We believe our unique business model and diligent underwriting ensure a high-quality and diverse tenant base that results in higher occupancy levels, longer lease terms, higher rental income, higher returns, and greater long-term asset value."
ALXN,Alexion Pharmaceuticals,"Alexion Pharmaceuticals, Inc., a biopharmaceutical company, develops and commercializes various therapeutic products. The company offers Soliris (eculizumab), a monoclonal antibody for the treatment of paroxysmal nocturnal hemoglobinuria (PNH), a genetic blood disorder; atypical hemolytic uremic syndrome (aHUS), a genetic disease; and generalized myasthenia gravis, a debilitating, complement-mediated neuromuscular disease. It also provides Strensiq (asfotase alfa), a targeted enzyme replacement therapy for patients with hypophosphatasia; and Kanuma (sebelipase alfa) for the treatment of patients with lysosomal acid lipase deficiency. In addition, the company conducts Phase III clinical trials for ALXN 1210 (IV) that is in Phase III clinical trials for the treatment of PNH and aHUS; ALXN1210 (Subcutaneous), which is in Phase I for PNH and aHUS; and Soliris (eculizumab) for the treatment of myasthenia gravis and neuromyelitis optica spectrum disorder. Further, it develops cPMP (cyclic Pyranopterin Monophosphate) (ALXN 1101) for molybdenum cofactor deficiency disease type A; and Samalizumab (ALXN6000), an immunomodulatory humanized monoclonal antibody. The company serves distributors, pharmacies, hospitals, hospital buying groups, and other healthcare providers in the United States, Europe, the Asia Pacific, and internationally. Alexion Pharmaceuticals, Inc. has collaboration and license agreement with Halozyme Therapeutics, Inc. to use drug-delivery technology in the development of subcutaneous formulations for its portfolio of products; and collaboration with Dicerna Pharmaceuticals, Inc. to discover and develop RNAi therapies for complement-mediated diseases. The company was founded in 1992 and is headquartered in Boston, Massachusetts."
ALGN,Align Technology,"Align Technology, Inc. designs, manufactures, and markets a system of clear aligner therapy, intraoral scanners, and computer-aided design and computer-aided manufacturing (CAD/CAM) digital services. The company's Clear Aligner segment offers Invisalign Full, a treatment used for a range of malocclusion; Invisalign Teen treatment that addresses orthodontic needs of teenage patients, such as compliance indicators, compensation for tooth eruption, and six free single arch replacement aligners; and Invisalign Assist treatment for anterior alignment and aesthetically-oriented cases. It also provides Invisalign Express (10 and 5) and Invisalign Lite/i7 treatments for orthodontic cases, non-comprehensive treatment relapse cases, or straightening prior to restorative or cosmetic treatments; Invisalign Go, a solution for general practitioner dentists (GPs) to identify and treat patients with mild malocclusion; SmileDirectClub aligners for minor tooth movement; custom clear aligner retainers used to maintain tooth position and correct minor relapse; and SmartTrack, a custom-engineered material that delivers force for orthodontic tooth movements. The company's Scanners and Services segment offers iTero Scanner, a single hardware platform with software options for restorative or orthodontic procedures; and Restorative software for iTero, a software for GPs, prosthodontists, periodontists, and oral surgeons. It also provides Orthodontic software for iTero, a software for orthodontists for digital records storage, orthodontic diagnosis, Invisalign digital impression submission, and for the fabrication of printed models and retainers; CAD/CAM services, such as iTero Models and Dies, OrthoCAD iCast, and OrthoCAD iRecord; and Invisalign outcome simulator, a chair-side and cloud-based application for the iTero scanner, as well as third party scanners and digital scans for Invisalign treatment submission. The company was founded in 1997 and is headquartered in San Jose, California."
ALLE,Allegion,"Allegion plc manufactures and sells mechanical and electronic security products and solutions worldwide. The company offers locks, locksets, portable locks, and key systems; door closers and exit devices; electronic security products and access control systems; time, attendance, and workforce productivity systems; doors and door frames; and other accessories. It also door and window products for commercial spaces, including sealing systems, such as sound control, fire and smoke protection, and threshold applications, as well as lights, door louvers, intumescent products, photo-luminescent products, and flood barriers for doors; and designs and manufactures sliding and folding door hardware for commercial and residential spaces. The company sells its products and solutions to end-users in commercial, institutional, and residential facilities, including education, healthcare, government, hospitality, commercial office, and single and multi-family residential markets under the CISA, Interflex, LCN, Schlage, SimonsVoss, and Von Duprin brands. It sells its products and solutions through distribution and retail channels ranging from specialty distribution to wholesalers, as well as through various retail channels ranging from do-it-yourself home improvement centers to small specialty showroom outlets. Allegion plc was incorporated in 2013 and is headquartered in Dublin, Ireland."
AGN,"Allergan, Plc","Allergan plc, a pharmaceutical company, develops, manufactures, and commercializes branded pharmaceutical, device, biologic, surgical, and regenerative medicine products worldwide. It operates through US Specialized Therapeutics, US General Medicine, and International segments. The company offers a portfolio of products for the central nervous system, eye care, medical aesthetics and dermatology, gastroenterology, women's health, urology, and anti-infective therapeutic categories. It also provides breast implants and tissue expanders; RM-131 (relamorelin), a peptide ghrelin agonist for the treatment of diabetic gastroparesis; ocular implants; and Kybella, a non-surgical treatment for submental fullness. In addition, the company develops therapies for non-alcoholic steatohepatitis and other liver diseases; treatments for neurodegenerative disorders, including Alzheimer's disease; small molecule therapeutics that target inflammatory and fibrotic diseases; and delivery system and botulinum toxin-based prescription products. It has collaboration, option, and license agreement with Lyndra, Inc.; strategic alliance and option agreement with Editas Medicine, Inc.; and licensing agreements with Assembly Biosciences, Inc. MedImmune, and Heptares Therapeutics, Ltd. The company was formerly known as Actavis plc and changed its name to Allergan plc in June 2015. Allergan plc was founded in 1983 and is headquartered in Dublin, Ireland."
ADS,Alliance Data Systems,"Alliance Data Systems Corporation provides data-driven marketing and loyalty solutions worldwide. It operates through three segments: LoyaltyOne, Epsilon, and Card Services. The company offers a portfolio of integrated outsourced marketing solutions, including customer loyalty programs, database marketing services, end-to-end marketing services, analytics and creative services, direct marketing services, and private label and co-brand retail credit card programs. It also focuses on facilitating and managing interactions between its clients and their customers through various consumer marketing channels, including in-store, online, email, social media, mobile, direct mail, and telephone. The company captures and analyzes data created during each customer interaction, leveraging the insight derived from that data to enable clients to identify and acquire new customers and to enhance customer loyalty. It serves clients across various end-markets, including financial services, specialty retail, grocery and drugstore chains, petroleum retail, automotive, hospitality and travel, telecommunications, insurance, and healthcare. Alliance Data Systems Corporation was founded in 1996 and is headquartered in Plano, Texas."
